iter	Logloss
0	0.6359928914
1	0.6148379476
2	0.6022047892
3	0.5955970215
4	0.5880726929
5	0.5829803304
6	0.579453418
7	0.5778180298
8	0.5746457926
9	0.5734761271
10	0.5688234863
11	0.565728894
12	0.5644991862
13	0.5622360718
14	0.5599076986
15	0.5575938436
16	0.5555540649
17	0.5525767131
18	0.551747522
19	0.5509378133
20	0.5491510295
21	0.5485992025
22	0.546666158
23	0.5455410726
24	0.5444066366
25	0.5433817098
26	0.5425445638
27	0.5412196045
28	0.5403871948
29	0.5392277913
30	0.538283195
31	0.537583964
32	0.5369222046
33	0.5362694946
34	0.535488737
35	0.5347695109
36	0.5342999919
37	0.5338316854
38	0.5332470215
39	0.5327326864
40	0.5322326701
41	0.5317467041
42	0.5312955607
43	0.5308971395
44	0.5305383911
45	0.530139034
46	0.5297721476
47	0.5293951986
48	0.5290634969
49	0.5287482666
50	0.5284277954
51	0.5281835083
52	0.5278937541
53	0.5276360921
54	0.5273827067
55	0.5271198812
56	0.5268505981
57	0.5265873657
58	0.5263530111
59	0.5261222005
60	0.5259289429
61	0.5257190186
62	0.5254781616
63	0.5252740519
64	0.5251126139
65	0.5249667399
66	0.5248422607
67	0.5246882161
68	0.5245457072
69	0.5244304443
70	0.5242898804
71	0.5241587972
72	0.5240426921
73	0.523906661
74	0.5237697144
75	0.5236533203
76	0.5235275146
77	0.5234142741
78	0.5232408325
79	0.5231278646
80	0.5230144897
81	0.5229061076
82	0.5228203328
83	0.5226992757
84	0.5226002116
85	0.5224771891
86	0.5223807048
87	0.5222759399
88	0.5221409505
89	0.5220343384
90	0.5219384237
91	0.5218352173
92	0.5217236125
93	0.5216231689
94	0.521520048
95	0.5214307373
96	0.5213477254
97	0.5212614746
98	0.5211679362
99	0.5210917562
100	0.5210053711
101	0.5209258667
102	0.5208324544
103	0.52074611
104	0.5206668823
105	0.5205750814
106	0.520503007
107	0.5204277507
108	0.5203324422
109	0.5202440999
110	0.5201775187
111	0.5200962362
112	0.5200287313
113	0.5199537476
114	0.5198858276
115	0.5198160767
116	0.5197470296
117	0.5196936401
118	0.5196105062
119	0.5195382935
120	0.519466923
121	0.5194053833
122	0.5193263509
123	0.5192705811
124	0.519211617
125	0.5191583903
126	0.5191006755
127	0.5190409668
128	0.5189601318
129	0.5188966512
130	0.5188431966
131	0.5187933594
132	0.5187378215
133	0.5186724121
134	0.5186132772
135	0.5185581095
136	0.5185056234
137	0.518459021
138	0.5184113688
139	0.5183647013
140	0.5182997437
141	0.5182422201
