iter	Logloss
142	0.5181908732
143	0.5181145955
144	0.5180657104
145	0.5180001424
146	0.517954895
147	0.5179129395
148	0.5178735962
149	0.5178315796
150	0.517790743
151	0.5177390015
152	0.5176925659
153	0.5176508952
154	0.5176032186
155	0.5175530396
156	0.5175008301
157	0.5174565267
158	0.5174138265
159	0.5173669067
160	0.5173227376
161	0.5172781616
162	0.5172416463
163	0.5171993896
164	0.5171522217
165	0.5171203369
166	0.5170813761
167	0.5170418945
168	0.5169875488
169	0.516949589
170	0.5169066813
171	0.5168669067
172	0.5168354004
173	0.5167961222
174	0.5167461222
175	0.5167070964
176	0.516671228
177	0.5166353638
178	0.5165948201
179	0.5165535156
180	0.5165138672
181	0.5164773071
182	0.5164394816
183	0.5164005981
184	0.5163662598
185	0.5163332845
186	0.5163019816
187	0.5162697144
188	0.5162329997
189	0.5162029541
190	0.5161717204
191	0.5161263387
192	0.5160994059
193	0.516068689
194	0.5160378174
195	0.5159979085
196	0.5159639364
197	0.5159367757
198	0.5158975301
199	0.5158686605
200	0.5158403564
201	0.5158081421
202	0.515773348
203	0.5157466268
204	0.515718042
205	0.5156910156
206	0.5156650838
207	0.5156424886
208	0.5156076986
209	0.5155787882
210	0.5155472453
211	0.5155192871
212	0.515494576
213	0.5154675456
214	0.5154440063
215	0.5154119425
216	0.5153892985
217	0.5153648926
218	0.5153386759
219	0.5153026693
220	0.515278304
221	0.5152446615
222	0.5152238159
223	0.5152000977
224	0.5151806885
225	0.515159318
226	0.5151250366
227	0.5150980713
228	0.5150721436
229	0.5150525269
230	0.5150256551
231	0.5150056641
232	0.5149815796
233	0.51495684
234	0.5149369425
235	0.5149090373
236	0.5148892537
237	0.5148577433
238	0.5148309001
239	0.5148079142
240	0.5147876424
241	0.5147639282
242	0.5147447347
243	0.5147251831
244	0.5147044027
245	0.5146830607
246	0.5146626506
247	0.5146429525
248	0.5146187541
249	0.5145911662
250	0.514575061
251	0.5145576864
252	0.5145362671
253	0.5145178345
254	0.5144919027
255	0.514471228
256	0.5144451538
257	0.5144287272
258	0.5144007284
259	0.5143835734
260	0.5143660563
261	0.5143498291
262	0.514330953
263	0.5143119181
264	0.5142989746
265	0.5142818766
266	0.5142563843
267	0.5142366211
268	0.5142201864
269	0.5142012655
270	0.5141794108
271	0.5141629842
272	0.5141442464
273	0.5141279378
274	0.5141048665
275	0.5140905762
276	0.5140767944
277	0.5140617472
278	0.5140490804
279	0.5140337565
280	0.5140166504
281	0.5139989624
282	0.5139859009
283	0.5139707072
284	0.5139543457
285	0.5139391927
286	0.5139305013
287	0.5139176758
288	0.5139011068
289	0.5138814575
290	0.5138694051
291	0.513851355
292	0.5138344523
293	0.5138207926
294	0.5137944255
295	0.5137768799
296	0.5137641439
297	0.5137504883
298	0.5137366943
299	0.513721757
300	0.5137040161
301	0.5136862915
302	0.5136675537
303	0.5136531698
304	0.5136347371
305	0.5136218099
306	0.5136062337
307	0.5135989014
308	0.5135843669
309	0.5135695353
310	0.5135510539
311	0.513535258
312	0.5135231608
313	0.5135099325
314	0.5134984497
315	0.5134853231
316	0.5134707804
317	0.5134576823
318	0.5134437826
319	0.5134311117
320	0.5134182495
321	0.513401766
322	0.5133902262
323	0.5133756551
324	0.5133641113
325	0.5133495239
326	0.5133364868
327	0.5133202352
328	0.5133063924
329	0.5132926147
330	0.5132755249
331	0.5132653158
332	0.5132542969
333	0.5132385417
334	0.5132264526
335	0.5132164754
336	0.5131981364
337	0.5131847656
338	0.5131707926
339	0.5131566121
340	0.5131435303
341	0.5131256429
342	0.5131128052
343	0.5131012492
344	0.5130892497
345	0.5130747233
346	0.5130646729
347	0.5130521851
348	0.5130395671
349	0.5130297567
350	0.5130190796
351	0.5130072591
352	0.5129959066
353	0.5129801473
354	0.5129698608
355	0.5129559123
356	0.5129442464
357	0.5129344645
358	0.5129245076
359	0.5129129842
360	0.5129072266
361	0.5128958659
362	0.5128795776
363	0.5128708862
364	0.512857841
365	0.5128485962
366	0.5128404053
367	0.5128290894
368	0.5128151042
369	0.5128045898
370	0.5127927165
371	0.5127833822
372	0.5127706055
373	0.512761438
374	0.5127500122
375	0.5127348226
376	0.5127240194
377	0.5127135864
378	0.5127020345
379	0.5126883504
380	0.5126797078
381	0.5126723592
382	0.5126647095
383	0.5126556193
384	0.512649825
385	0.5126401611
386	0.5126311646
387	0.5126230103
388	0.5126102132
389	0.5126005046
390	0.5125888184
391	0.512579659
392	0.5125682983
393	0.5125562907
394	0.512541097
395	0.512530188
396	0.5125196411
397	0.5125086385
398	0.5124950236
399	0.512487028
400	0.51247736
401	0.5124638997
402	0.5124529826
403	0.5124466187
404	0.5124368368
405	0.5124268514
406	0.5124133789
407	0.5124025065
408	0.5123961711
409	0.5123880778
410	0.5123796387
411	0.5123696859
412	0.5123597046
413	0.5123496704
414	0.5123415649
415	0.5123304932
416	0.5123185221
417	0.5123100057
418	0.5123005371
419	0.5122924561
420	0.5122841838
421	0.5122754639
422	0.5122658732
423	0.5122552856
424	0.5122450073
425	0.5122361125
426	0.5122293132
427	0.5122169312
428	0.5122098307
429	0.5122015503
430	0.5121942057
431	0.5121894694
432	0.512178304
433	0.5121676351
434	0.5121579834
435	0.5121524211
436	0.5121438639
437	0.5121323446
438	0.5121212484
439	0.5121155924
440	0.5121044108
441	0.5120989095
442	0.5120898763
443	0.5120804036
444	0.5120717
445	0.5120617676
446	0.5120556274
447	0.5120472209
448	0.5120411214
449	0.5120307943
450	0.5120243408
451	0.5120157145
452	0.5120060221
453	0.5119946004
454	0.511988208
455	0.5119831624
456	0.5119784993
457	0.5119703695
458	0.5119593384
459	0.5119511882
460	0.5119427653
461	0.5119366252
462	0.5119285034
463	0.5119196533
464	0.5119131632
465	0.5119028564
466	0.5118953328
467	0.5118898641
468	0.5118826497
469	0.5118751668
470	0.5118654012
471	0.5118587484
472	0.511848055
473	0.5118392131
474	0.5118322591
475	0.5118235392
476	0.5118146769
477	0.5118052938
478	0.5117977987
479	0.5117911865
480	0.5117854248
481	0.5117782593
482	0.5117728027
483	0.5117635091
484	0.5117555664
485	0.5117452881
486	0.5117375651
487	0.5117314697
488	0.5117204183
489	0.5117141886
490	0.5117050944
491	0.5116984253
492	0.5116896606
493	0.5116824707
494	0.5116761393
495	0.5116690023
496	0.5116653402
497	0.5116589966
498	0.5116522176
499	0.5116444702
500	0.5116391968
501	0.5116329712
502	0.5116286011
503	0.511622408
504	0.5116154704
505	0.5116092448
506	0.5116029419
507	0.5115975667
508	0.511592631
509	0.5115838298
510	0.5115780233
511	0.5115715902
512	0.5115653524
513	0.511553776
514	0.5115486898
515	0.5115402425
516	0.5115330037
517	0.5115276204
518	0.511521875
519	0.5115124186
520	0.511505603
521	0.5114972493
522	0.5114890381
523	0.5114840535
524	0.5114777547
525	0.5114738729
526	0.5114676717
527	0.5114594808
528	0.5114534912
529	0.5114490926
530	0.5114426432
531	0.5114364543
532	0.5114282104
533	0.511421285
534	0.5114131917
535	0.5114077148
536	0.5114012207
537	0.5113950643
538	0.5113879395
539	0.5113816691
540	0.5113729004
541	0.5113674113
542	0.5113611491
543	0.5113517619
544	0.5113439494
545	0.5113380086
546	0.5113320353
547	0.511328064
548	0.5113211589
549	0.5113141113
550	0.5113095215
551	0.5113019084
552	0.5112970256
553	0.5112890381
554	0.5112834391
555	0.5112785278
556	0.5112724406
557	0.5112671997
558	0.5112627482
559	0.5112550496
560	0.5112482137
561	0.5112402751
562	0.511234908
563	0.5112280314
564	0.5112250041
565	0.511218099
566	0.511212736
567	0.5112060628
568	0.5112000814
569	0.5111943807
570	0.5111897013
571	0.5111872599
572	0.5111812256
573	0.5111719767
574	0.5111675741
575	0.5111629476
576	0.5111583537
577	0.5111541707
578	0.511146521
579	0.5111400798
580	0.5111357544
581	0.511128654
582	0.5111244425
583	0.511117806
584	0.5111118245
585	0.5111037354
586	0.5110984375
587	0.5110916951
588	0.5110846924
589	0.5110780436
590	0.5110716512
591	0.5110649699
592	0.5110576579
593	0.5110507935
594	0.5110431722
595	0.5110369019
596	0.5110309408
597	0.5110248576
598	0.5110197795
599	0.5110123657
600	0.5110070638
601	0.5110010539
602	0.5109956014
603	0.5109898926
604	0.5109852214
605	0.5109788452
606	0.5109738607
607	0.5109691528
608	0.5109638997
609	0.5109578857
610	0.5109537638
611	0.5109467814
612	0.5109424764
613	0.5109359456
614	0.51092795
615	0.5109233521
616	0.5109166545
617	0.5109124186
618	0.5109079712
619	0.510903068
620	0.5108977051
621	0.5108918172
622	0.5108851359
623	0.5108814372
624	0.5108763672
625	0.5108715332
626	0.510863151
627	0.5108580241
628	0.5108510661
629	0.5108463094
630	0.5108424967
631	0.5108363973
632	0.5108302368
633	0.5108251587
634	0.510818693
635	0.5108139811
636	0.5108104248
637	0.5108045085
638	0.5107995199
639	0.5107915405
640	0.5107856283
641	0.510779716
642	0.510774825
643	0.5107686523
644	0.5107643066
645	0.5107608154
646	0.5107534424
647	0.5107473592
648	0.5107413859
649	0.5107357503
650	0.5107330526
651	0.510728243
652	0.5107230794
653	0.5107195882
654	0.5107143148
655	0.5107096436
656	0.5107060181
657	0.5107006877
658	0.5106974772
659	0.5106940755
660	0.5106898478
661	0.510681901
662	0.5106769775
663	0.5106708049
664	0.5106657064
665	0.5106605021
666	0.5106567342
667	0.5106511108
668	0.510647583
669	0.5106431519
670	0.5106363322
671	0.5106337118
672	0.5106279419
673	0.5106221558
674	0.5106184204
675	0.5106144613
676	0.510611027
677	0.5106061605
678	0.5105998332
679	0.5105955933
680	0.510589681
681	0.5105835571
682	0.5105802002
683	0.5105762777
684	0.5105720133
685	0.51056934
686	0.5105654582
687	0.5105608846
688	0.5105574829
689	0.5105528605
690	0.5105470133
691	0.5105399251
692	0.5105347697
693	0.5105314575
694	0.5105269368
695	0.5105237793
696	0.5105193481
697	0.5105148031
698	0.5105107544
699	0.5105067505
700	0.5105010783
701	0.5104982788
702	0.5104917196
703	0.510484314
704	0.5104798381
705	0.510474471
706	0.5104718791
707	0.5104652629
708	0.5104593547
709	0.5104543538
710	0.5104500814
711	0.5104439412
712	0.5104404826
713	0.5104369832
714	0.5104323486
715	0.5104282918
716	0.5104238241
717	0.5104184204
718	0.5104144287
719	0.5104088908
720	0.5104038005
721	0.5103993205
722	0.5103936035
723	0.5103889364
724	0.5103851359
725	0.5103805623
726	0.5103751994
727	0.5103710409
728	0.510365918
729	0.5103613525
730	0.5103572754
731	0.5103529012
732	0.5103506022
733	0.5103464152
734	0.5103414551
735	0.5103370036
736	0.5103319906
737	0.510327299
738	0.5103244792
739	0.5103239258
740	0.5103199097
741	0.5103157023
742	0.5103129476
743	0.5103091756
744	0.510304423
745	0.5102970459
746	0.51029316
747	0.5102901164
748	0.5102842082
749	0.5102812703
750	0.5102790771
751	0.5102724162
752	0.5102679565
753	0.5102622762
754	0.5102573527
755	0.5102536662
756	0.510250057
757	0.5102448649
758	0.51024021
759	0.5102363444
760	0.5102325073
761	0.5102274333
762	0.5102214722
763	0.5102181356
764	0.510214738
765	0.5102088704
766	0.5102071208
767	0.5102035685
768	0.5101982544
769	0.5101951335
770	0.5101918376
771	0.5101874471
772	0.5101837606
773	0.510180717
774	0.5101769775
775	0.510171224
776	0.5101677165
777	0.5101627279
778	0.5101596436
779	0.5101559163
780	0.5101509481
781	0.5101480347
782	0.5101444702
783	0.5101404663
784	0.510137618
785	0.5101359253
786	0.5101321167
787	0.5101279338
788	0.5101232666
789	0.510120341
790	0.5101160889
